dice,iou,precision,recall,specificity,hd95,asd,cldice,case_id,split_category,inference_time_sec
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,1,Primary_Train,8.61
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,2,Primary_Train,6.75
0.0,0.0,0.0,0.0,0.9999998332130544,157.26913042250249,87.98959263309845,0.0,8,Primary_Train,22.1
0.0,0.0,0.0,0.0,0.9999971101228936,164.15958808832374,91.03759702273264,0.0,9,Primary_Train,23.61
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,11,Primary_Train,5.97
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,12,Primary_Train,6.35
0.0,0.0,0.0,0.0,0.9999980258941792,147.4329694736679,91.99224550495589,0.0,14,Primary_Val,22.85
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,15,Primary_Train,4.54
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,17,Primary_Train,7.22
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,18,Primary_Train,4.27
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,19,Primary_Train,5.63
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,20,Primary_Train,6.94
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,22,Primary_Train,6.03
0.0,0.0,0.0,0.0,0.9999989714384441,171.49217257417735,96.18607818408607,0.0,24,Primary_Train,23.07
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,25,Primary_Train,6.3
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,29,Primary_Train,4.29
