case_id,model,dice,iou,precision,recall,hd95,resize_applied,gpu_used,source
130.0,3D U-Net,0.0044147246517241,0.002212245715782,0.0022134976461529,0.7964066863059998,,False,True,
131.0,3D U-Net,0.0053121112287044,0.0026631290093064,0.0026653218083083,0.7639755010604858,,False,True,
132.0,3D U-Net,0.0047202259302139,0.0023656962439417,0.0023672636598348,0.7813345193862915,,False,True,
133.0,3D U-Net,0.0056253280490636,0.002820597263053,0.0028240913525223,0.6951087117195129,,False,True,
134.0,3D U-Net,0.0050036059692502,0.0025080775376409,0.0025098319165408,0.7820549011230469,,False,True,
135.0,3D U-Net,0.0057528363540768,0.0028847157955169,0.0028868932276964,0.7927218675613403,,False,True,
136.0,3D U-Net,0.0070321871899068,0.0035285002086311,0.0035324934870004,0.7573544383049011,,False,True,
137.0,3D U-Net,0.0033552921377122,0.0016804651822894,0.0016813881229609,0.7538080215454102,,False,True,
138.0,3D U-Net,0.0049675959162414,0.002489982638508,0.0024913467932492,0.8197302222251892,,False,True,
1000.0,3D U-Net,0.0056449454277753,0.0028304615989327,0.002832873025909,0.7687985897064209,,False,True,
1.0,SegResNet,0.7532138228416443,0.6041243076324463,0.7825112342834473,0.7260311245918274,12.611387252807615,False,False,csv_metrics
10.0,SegResNet,0.7528517246246338,0.6036585569381714,0.8231707215309143,0.693601131439209,10.29563045501709,False,False,csv_metrics
11.0,SegResNet,0.7916417121887207,0.6551381945610046,0.8280454277992249,0.7583040595054626,8.485280990600586,False,False,csv_metrics
12.0,SegResNet,0.7612246870994568,0.6144978404045105,0.9168621301651,0.6507584452629089,10.0,False,False,csv_metrics
13.0,SegResNet,0.843949019908905,0.7300275564193726,0.8569328784942627,0.8313527703285217,1.4142135381698608,False,False,csv_metrics
100.0,SegResNet,0.8877691626548767,0.7981878519058228,0.8976303339004517,0.8781222701072693,1.0,False,False,csv_metrics
101.0,SegResNet,0.8451985716819763,0.7318994998931885,0.8598949313163757,0.8309961557388306,4.582575798034668,False,False,csv_metrics
102.0,SegResNet,0.8870535492897034,0.7970317006111145,0.8813093304634094,0.8928731679916382,1.0,False,False,csv_metrics
103.0,SegResNet,0.7837332487106323,0.6443761587142944,0.8483816981315613,0.728239893913269,12.212665557861328,False,False,csv_metrics
104.0,SegResNet,0.7769976854324341,0.6353198885917664,0.7962813377380371,0.7586259841918945,7.687575817108154,False,False,csv_metrics
105.0,SegResNet,0.8384159207344055,0.7217866778373718,0.8650804162025452,0.8133460283279419,7.088657855987549,False,False,csv_metrics
