Dataset,Model,Metric,N,Mean,Std,Median,Q1_25pct,Q3_75pct,IQR,Min,Max
External 3D CAS Unseen (N=66),V-Net,IOU,66,0.561039162548159,0.11180089182985803,0.58259809091913,0.4911239201464078,0.6470589263745472,0.15593500622813938,0.2508160284498634,0.7371368605908746
External 3D CAS Unseen (N=66),V-Net,PRECISION,66,0.806516816377888,0.09343600256585324,0.8195672866637347,0.7673432757173919,0.8690384067045512,0.10169513098715932,0.4439135496279799,0.9487672110150496
External 3D CAS Unseen (N=66),V-Net,RECALL,66,0.6500633979534147,0.13053412957670918,0.665909220801274,0.5485108514824313,0.7471810282414447,0.19867017675901344,0.322699277770393,0.8756839258459259
External 3D CAS Unseen (N=66),V-Net,CLDICE,66,0.7876405292796623,0.10426234537905647,0.8199663792745981,0.7175312406606049,0.8526275770763142,0.13509633641570928,0.4463143722652306,0.9613756040672252
External 3D CAS Unseen (N=66),V-Net,ASD,66,3.5299901013882424,4.634559489063564,1.8928614091224398,1.0855239158312833,3.701598066606156,2.616074150774873,0.3729286019311968,27.415587287868725
External 3D CAS Unseen (N=66),nnU-Net,DICE,66,0.47042995699471607,0.16519268618813562,0.48242398618767995,0.3293546590126968,0.6069568713660983,0.27760221235340155,0.0510925254652599,0.7394956383520442
External 3D CAS Unseen (N=66),nnU-Net,HD95,66,48.7010312081272,18.187453677730005,50.98561632472519,37.81402347371458,61.069553455070604,23.255529981356027,8.081936436968999,81.52998264714357
External 3D CAS Unseen (N=66),nnU-Net,IOU,66,0.32247271445079717,0.14111292287492588,0.3178911520105096,0.19714327545357968,0.43570681439422776,0.23856353894064808,0.0262159831253441,0.5866664653069854
External 3D CAS Unseen (N=66),nnU-Net,PRECISION,66,0.759682778453016,0.0886347845285292,0.7799692498654405,0.7248578363443368,0.8194413978427115,0.09458356149837477,0.4733583489681051,0.9130207060302384
External 3D CAS Unseen (N=66),nnU-Net,RECALL,66,0.37201495105519666,0.18440105720250347,0.3539602910299239,0.2126640150628992,0.48625449962823286,0.27359048456533364,0.0270035961983046,0.7420166245030719
External 3D CAS Unseen (N=66),nnU-Net,CLDICE,66,0.4844363756590752,0.18886443942029207,0.4800396653788299,0.35742084575268396,0.6154674771891976,0.25804663143651363,0.0426570538094701,0.8172818366257704
External 3D CAS Unseen (N=66),nnU-Net,ASD,66,12.66392732301041,7.738094144940592,11.243752363522042,6.089820670378571,17.79062643623174,11.700805765853168,1.345481958010404,28.77952339742469
External 3D CAS Unseen (N=66),3D U-Net,DICE,66,0.5321950708423904,0.045537779401992974,0.5384697298101637,0.5070706579644062,0.566008994492971,0.05893833652856484,0.4127436795347634,0.6136200229299859
External 3D CAS Unseen (N=66),3D U-Net,HD95,66,13.801302442415825,8.803146652996327,10.713802897003605,6.928178909311348,18.74397469116106,11.815795781849712,1.811961126790528,39.786102875699946
External 3D CAS Unseen (N=66),3D U-Net,IOU,66,0.36385282855735196,0.041723619685566656,0.36842874364429745,0.33964847056388453,0.39470892384142553,0.055060453277541,0.2600359338394603,0.4426059471998542
External 3D CAS Unseen (N=66),3D U-Net,PRECISION,66,0.601869744779047,0.05448588662439892,0.6023406607537793,0.5669399674491618,0.6430277298471152,0.07608776239795345,0.4430037817396002,0.7038863025185785
External 3D CAS Unseen (N=66),3D U-Net,RECALL,66,0.4833426529624569,0.06509112432369744,0.48587107578952016,0.44406515546377356,0.5341790523334482,0.09011389686967464,0.31319845930608,0.5925406577520781
External 3D CAS Unseen (N=66),3D U-Net,CLDICE,66,0.6717302352662727,0.06300529957273551,0.6746023314608836,0.6333937090699017,0.7207418707986215,0.08734816172871984,0.5278268863588148,0.7947526593105898
External 3D CAS Unseen (N=66),3D U-Net,ASD,66,2.401257098896986,1.2660786911906445,1.99499244796041,1.3681046592914998,2.9103077649588416,1.5422031056673418,0.8281080202086971,6.543386688445041
