Case,Dice,HD95,IoU,Precision,Recall,Model,Original_ID,GPU_Used,Resize_Applied
Case_23,0.04510718584060669,,0.023073993623256683,0.039130765944719315,0.05323822796344757,3D_U-Net,874,True,True
Case_24,0.03819027915596962,,0.019466860219836235,0.0370064303278923,0.03945237025618553,3D_U-Net,875,True,True
Case_25,0.03943433240056038,,0.020113753154873848,0.03161896765232086,0.05238168686628342,3D_U-Net,876,True,True
Case_26,0.011334898881614208,,0.005699752364307642,0.009083549492061138,0.015069977380335331,3D_U-Net,877,True,True
Case_27,0.01679248921573162,,0.008467338047921658,0.016497980803251266,0.017097702249884605,3D_U-Net,878,True,True
Case_28,0.0439298190176487,,0.02245820127427578,0.03726651892066002,0.05349474400281906,3D_U-Net,879,True,True
Case_29,0.02648991532623768,,0.013422741554677486,0.020816611126065254,0.03641412779688835,3D_U-Net,880,True,True
Case_30,0.024967120960354805,,0.012641369365155697,0.02213739976286888,0.02862628735601902,3D_U-Net,881,True,True
Case_31,0.03481679409742355,,0.017716817557811737,0.032012343406677246,0.03815979138016701,3D_U-Net,882,True,True
Case_32,0.002728348830714822,,0.0013660378754138947,0.0023523063864558935,0.0032474976032972336,3D_U-Net,883,True,True
Case_33,0.007297476287931204,,0.0036621002946048975,0.0076353722251951694,0.006988219916820526,3D_U-Net,884,True,True
Case_34,0.01298772357404232,,0.006536307744681835,0.01023623626679182,0.01776217296719551,3D_U-Net,885,True,True
Case_35,0.055109232664108276,,0.028335388749837875,0.0472995862364769,0.06600780040025711,3D_U-Net,886,True,True
Case_36,0.023879213258624077,,0.01208388339728117,0.022040555253624916,0.026052558794617653,3D_U-Net,887,True,True
Case_37,0.03285403177142143,,0.016701368615031242,0.02457006461918354,0.04956531897187233,3D_U-Net,888,True,True
Case_38,0.04843871667981148,,0.024820495396852493,0.04884856939315796,0.04803568497300148,3D_U-Net,889,True,True
Case_39,0.026378843933343887,,0.013365707360208035,0.025662250816822052,0.027136605232954025,3D_U-Net,890,True,True
Case_40,0.014502194710075855,,0.007304059807211161,0.010942372493445873,0.021495066583156586,3D_U-Net,891,True,True
Case_41,0.03232744336128235,,0.016429278999567032,0.0300806425511837,0.034936971962451935,3D_U-Net,892,True,True
Case_42,0.024393552914261818,,0.012347374111413956,0.021750885993242264,0.027767181396484375,3D_U-Net,893,True,True
Case_43,0.03101809322834015,,0.0157533660531044,0.03000137209892273,0.03210614621639252,3D_U-Net,894,True,True
Case_44,0.03156261146068573,,0.01603434793651104,0.02842102199792862,0.03548503667116165,3D_U-Net,895,True,True
Case_45,0.01810098998248577,,0.009133154526352882,0.014390313066542149,0.024390242993831635,3D_U-Net,896,True,True
Case_46,0.06654047966003418,,0.034415241330862045,0.061678823083639145,0.0722341239452362,3D_U-Net,897,True,True
Case_47,0.03898512199521065,,0.019880075007677078,0.037693243473768234,0.04036870226264,3D_U-Net,898,True,True
Case_48,0.005258158314973116,,0.0026360093615949154,0.005129232537001371,0.005393731873482466,3D_U-Net,899,True,True
Case_49,0.02054162696003914,,0.010377397760748863,0.019785866141319275,0.021357417106628418,3D_U-Net,900,True,True
Case_50,0.02401225082576275,,0.012152024544775486,0.017779609188437462,0.03697321191430092,3D_U-Net,901,True,True
Case_51,0.02128252573311329,,0.010755717754364014,0.01997682824730873,0.022770842537283897,3D_U-Net,902,True,True
Case_52,0.029027247801423073,,0.01472737081348896,0.029248367995023727,0.0288094449788332,3D_U-Net,903,True,True
Case_53,0.018598664551973343,,0.009386621415615082,0.018368279561400414,0.018834901973605156,3D_U-Net,904,True,True
Case_54,0.03807303309440613,,0.019405938684940338,0.03339637443423271,0.0442727692425251,3D_U-Net,905,True,True
Case_55,0.03439635783433914,,0.017499132081866264,0.029963219538331032,0.04036907106637955,3D_U-Net,906,True,True
Case_56,0.033998943865299225,,0.017293451353907585,0.03385207802057266,0.03414709120988846,3D_U-Net,907,True,True
Case_57,0.02858630381524563,,0.014500408433377743,0.025741394609212875,0.03213817998766899,3D_U-Net,908,True,True
Case_58,0.018005164340138435,,0.009084364399313927,0.018470576032996178,0.017562629655003548,3D_U-Net,909,True,True
Case_59,0.0330839529633522,,0.016820214688777924,0.027402663603425026,0.0417371541261673,3D_U-Net,910,True,True
Case_60,0.01547256950289011,,0.007796601392328739,0.01172669231891632,0.022734778001904488,3D_U-Net,911,True,True
Case_61,0.027745509520173073,,0.014067916199564934,0.023720920085906982,0.0334148071706295,3D_U-Net,912,True,True
Case_62,0.03693927079439163,,0.018817180767655373,0.031735483556985855,0.04418433830142021,3D_U-Net,913,True,True
Case_63,0.009894566610455513,,0.004971880931407213,0.00794522650539875,0.01311141811311245,3D_U-Net,914,True,True
Case_64,0.03662240132689476,,0.01865275390446186,0.029875289648771286,0.04730613902211189,3D_U-Net,915,True,True
Case_65,0.02385365031659603,,0.0120707917958498,0.018550768494606018,0.03340182453393936,3D_U-Net,916,True,True
Case_66,0.019799454137682915,,0.009998711757361889,0.017431383952498436,0.02291208505630493,3D_U-Net,917,True,True
Case_67,0.01405421830713749,,0.007076838985085487,0.012192491441965103,0.01658695563673973,3D_U-Net,918,True,True
Case_68,0.015927355736494064,,0.008027607575058937,0.015223545953631401,0.016699396073818207,3D_U-Net,919,True,True
Case_69,0.016374634578824043,,0.008254903368651867,0.011784440837800503,0.026822254061698914,3D_U-Net,920,True,True
Case_70,0.04126806557178497,,0.021068764850497246,0.03415575623512268,0.05212138220667839,3D_U-Net,921,True,True
Case_71,0.030983828008174896,,0.0157356895506382,0.024465594440698624,0.04223672300577164,3D_U-Net,922,True,True
Case_72,0.0231215488165617,,0.011695989407598972,0.021875185891985893,0.024518517777323723,3D_U-Net,923,True,True
Case_73,0.04362358897924423,,0.022298157215118408,0.03923708200454712,0.04911432042717934,3D_U-Net,924,True,True
Case_74,0.015459364280104637,,0.00778989540413022,0.013082333840429783,0.018891995772719383,3D_U-Net,925,True,True
Case_75,0.0018295423360541463,,0.000915608718059957,0.0016094420570880175,0.002119379350915551,3D_U-Net,926,True,True
Case_76,0.01996554248034954,,0.01008343230932951,0.016966627910733223,0.024252213537693024,3D_U-Net,927,True,True
Case_77,0.02604830451309681,,0.013196018524467945,0.02361353673040867,0.029042884707450867,3D_U-Net,928,True,True
Case_78,0.012687750160694122,,0.006384376436471939,0.010150017216801643,0.016917508095502853,3D_U-Net,929,True,True
Case_79,0.02693384326994419,,0.013650755397975445,0.025489913299679756,0.028551185503602028,3D_U-Net,930,True,True
Case_80,0.06827008724212646,,0.035341426730155945,0.04806886240839958,0.11775901913642883,3D_U-Net,931,True,True
Case_81,0.061512164771556854,,0.03173203393816948,0.05994744226336479,0.06316075474023819,3D_U-Net,932,True,True
Case_82,0.034974902868270874,,0.017798706889152527,0.03289901837706566,0.03733040764927864,3D_U-Net,933,True,True
Case_83,0.012168158777058125,,0.006121322046965361,0.011102377437055111,0.013460289686918259,3D_U-Net,934,True,True
Case_84,0.026665836572647095,,0.013513087294995785,0.023022277280688286,0.031679511070251465,3D_U-Net,935,True,True
Case_85,0.016896942630410194,,0.008520456962287426,0.015159067697823048,0.019084885716438293,3D_U-Net,936,True,True
Case_86,0.05363646522164345,,0.027557270601391792,0.049378663301467896,0.05869784206151962,3D_U-Net,937,True,True
Case_87,0.0431654155254364,,0.022058796137571335,0.03801822289824486,0.0499245785176754,3D_U-Net,938,True,True
Case_88,0.05332721769809723,,0.02739403210580349,0.047237515449523926,0.06121942028403282,3D_U-Net,939,True,True
