Original_ID,Dice,IoU,Precision,Recall,HD95,Model,Case_ID
,0.002368699800662,0.0011857542482567,0.0037769975529311,0.0017253739322729,295.5960080921256,V-Net,104
,0.0051366488452072,0.00257493769798,0.0107150434967112,0.0033780111541259,211.8726032312814,V-Net,105
,0.0089545953254347,0.0044974340135143,0.028071150639244,0.0053269339803008,283.89434654462565,V-Net,106
,0.0056469713648511,0.0028314803265877,0.0134093763791288,0.0035765702954518,312.92331328937445,V-Net,107
,0.0063319459336237,0.0031760281861912,0.0151160915833602,0.004004741614071,363.29739883461866,V-Net,108
,0.0101582883979813,0.0051050736039717,0.0234717254129657,0.0064817589540394,322.25145461269835,V-Net,109
,0.0226061714649253,0.0114323060680698,0.0374111608317978,0.0161965811965811,309.2911249939125,V-Net,11
,0.0204631492786725,0.0103373419248123,0.0572737686139748,0.0124569198189594,320.1640204645113,V-Net,110
,0.0123300715833706,0.0062032792301651,0.0760737439222042,0.0067087114986064,244.3460660620506,V-Net,111
,0.0081790362838965,0.0041063109751777,0.0275011853959222,0.0048038695997879,249.77589955798376,V-Net,112
,0.011006553520416,0.0055337304101715,0.046979865771812,0.0062334731389649,340.6552509502826,V-Net,113
,0.0029900953092877,0.0014972861688189,0.003960105602816,0.0024017879977316,365.589934215919,V-Net,114
,0.009747864425461,0.0048978037763275,0.013484752223634,0.0076326956271576,239.0,V-Net,115
,0.0036364148895683,0.0018215193448177,0.0146159075458871,0.0020765256024338,241.2094525510972,V-Net,116
,0.003988773764441,0.0019983724099407,0.0156580138846966,0.0022854939971362,284.43804246267763,V-Net,117
,0.0071891886758403,0.003607562060075,0.0126539959547331,0.0050208594490983,282.56149773102493,V-Net,118
,0.0131354486523362,0.0066111445007293,0.0377821393523061,0.0079496180053685,321.82914721945247,V-Net,119
,0.0021574091477414,0.0010798694339683,0.0061925314317883,0.0013062452376475,230.54283766797008,V-Net,12
,0.0151155703502259,0.0076153402809921,0.028693485226059,0.0102603271593151,339.6262651798297,V-Net,120
,0.0056053606967439,0.002810557442484,0.0096998420221169,0.0039415571076417,332.1129325997408,V-Net,121
,0.014053385814463,0.0070764167143669,0.0234543600445846,0.0100322574100748,279.6730233683614,V-Net,122
,0.007567858243653,0.0037983016259624,0.009562479284057,0.0062617339685502,331.2174512310606,V-Net,123
,0.0007910254566373,0.0003956692205316,0.003530733429626,0.0004454072439414,295.8462438497403,V-Net,124
,0.0067361260649425,0.0033794452169768,0.0199555090290499,0.004051944601282,286.6408903139955,V-Net,125
,0.0101595082323636,0.0051056897647804,0.0181570906264902,0.0070529312888065,298.6452745315084,V-Net,126
,0.0071146756354691,0.0035700376476693,0.0156851561385997,0.004600777949726,310.30791159749697,V-Net,127
,0.0170913986729966,0.0086193577765302,0.0351039872830838,0.0112954615687904,326.8424697006189,V-Net,128
,0.0099517586287557,0.005000762505083,0.0330686163284171,0.0058572236610996,238.6880809759884,V-Net,129
,0.0010771509357748,0.0005388656877273,0.0027703447190303,0.0006685456852213,345.950863563021,V-Net,13
,0.0212932228437887,0.0107611815401932,0.0475384349628605,0.0137191170312468,311.3679495388053,V-Net,130
,0.0052641936436087,0.0026390430385988,0.0239713240235979,0.00295675401833,304.149634226313,V-Net,131
,0.0080717337341049,0.0040522210918952,0.0366705024932873,0.0045349752853334,246.5299170486211,V-Net,132
,0.0056616373833539,0.0028388549754043,0.0158788039514685,0.0034449774530181,260.0038461253987,V-Net,133
,0.0020128087831654,0.0010074182617454,0.0045906017861614,0.0012889920082495,296.89392044971214,V-Net,134
,0.0151791704843039,0.0076476275634449,0.0677398583386992,0.008547216873441,289.9413733843448,V-Net,135
,0.0133084964354119,0.0066988238543998,0.0266923500275178,0.0088639894278825,236.4487259428564,V-Net,136
,0.0090204429912298,0.0045306557565975,0.0104906768070983,0.0079116511326616,331.00151057057127,V-Net,137
,0.0128629593450944,0.0064731113566556,0.0455296493482651,0.0074894302395812,222.46348014898985,V-Net,138
,0.7528517246246338,0.6036585569381714,0.8231707215309143,0.693601131439209,10.29563045501709,SegResNet,1
,0.8384159207344055,0.7217866778373718,0.8650804162025452,0.8133460283279419,7.088657855987549,SegResNet,10
,0.8227822780609131,0.6989210844039917,0.8683632016181946,0.7817478775978088,6.032834529876709,SegResNet,11
,0.7676451802253723,0.6229092478752136,0.7649177312850952,0.7703921794891357,18.6279354095459,SegResNet,12
,0.7151461839675903,0.5565973520278931,0.769774854183197,0.6677574515342712,13.93913745880127,SegResNet,13
